City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
699,Palmas De Monte Alto,BR,-14.27,-43.16,92.14,27,3,6.11,clear sky
700,Luorong,CN,24.41,109.61,61.36,76,100,17.43,overcast clouds
701,Aden,YE,12.78,45.04,81.3,63,0,8.48,clear sky
702,Svetlyy,RU,54.67,20.13,39.25,32,69,12.41,broken clouds
703,Manavalakurichi,IN,8.13,77.30,83.23,77,21,6.26,few clouds
704,Richards Bay,ZA,-28.78,32.04,81.16,65,13,8.28,few clouds
705,Athens,GR,37.98,23.72,66.27,77,75,13.0,broken clouds
706,Sechura,PE,-5.56,-80.82,75.47,68,69,11.36,broken clouds
707,Lisakovsk,KZ,52.54,62.49,34.9,84,98,12.93,overcast clouds
708,Yakima,US,46.47,-120.67,42.19,62,76,4.0,broken clouds
